id,name,description,neighborhood_overview,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighborhood,neighborhood_group,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
30117552,13552,17208,0,922,8748,1,49,98,79,1.0,1.0,0,10,10,52.38258,4.75943,18,0,4,1.5,2.0,4.0,13,185.0,2,5,0,0,0,0,0,0,0,0,,,,,,,,1,1,0,0,
30119127,8063,9651,0,2329,933,1,49,2,49,3.0,3.0,2,7,7,52.36336,4.853219999999999,7,0,4,1.5,2.0,2.0,16,165.0,4,28,0,0,0,0,0,3,1,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,3,1,2,0,0.14
30119597,14137,8249,0,2206,2135,2,2,2,54,1.0,1.0,0,8,8,52.343070000000004,4.90836,7,0,2,1.5,1.0,2.0,14,139.0,2,1125,0,30,60,90,365,5,2,0,85.0,9.0,8.0,10.0,10.0,10.0,9.0,1,1,0,0,0.28
30119960,16166,1783,2,384,8814,1,49,98,30,1.0,1.0,0,14,14,52.36505,4.94244,7,0,2,1.0,1.0,1.0,13,150.0,3,14,0,0,0,0,0,4,0,0,100.0,10.0,9.0,10.0,10.0,9.0,10.0,1,1,0,0,0.18
30121985,3762,10157,0,1251,2036,1,49,2,24,1.0,1.0,2,20,20,52.378190000000004,4.87446,7,0,2,1.0,1.0,1.0,17,145.0,2,1125,0,0,0,0,0,8,3,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,0.4
30123385,14851,5573,1,608,4691,1,49,98,78,1.0,1.0,2,14,14,52.37572,4.92591,27,2,2,1.0,1.0,1.0,13,89.0,61,200,0,0,0,0,0,1,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,0.08
30123407,4205,11200,0,1209,2363,1,49,33,17,4.0,4.0,2,8,8,52.351240000000004,4.90228,27,2,2,1.0,1.0,1.0,11,95.0,4,1125,0,0,0,0,0,2,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,4,1,3,0,0.09
30123898,8077,15350,2,1428,8748,1,49,98,17,1.0,1.0,2,8,8,52.353559999999995,4.89968,7,0,3,1.0,1.0,2.0,24,250.0,2,25,0,0,0,0,0,5,0,0,95.0,10.0,9.0,10.0,10.0,10.0,9.0,1,1,0,0,0.23
30124201,5968,4487,0,1631,8748,1,49,98,79,1.0,1.0,2,19,19,52.34052,4.92071,7,0,2,1.0,,1.0,8,90.0,1,25,0,0,0,0,0,2,0,0,60.0,10.0,4.0,10.0,10.0,10.0,8.0,1,1,0,0,0.09
30126025,3896,11614,1,1824,6952,2,2,62,74,1.0,1.0,2,4,4,52.36443,4.9099699999999995,7,0,2,1.0,1.0,1.0,30,200.0,2,1125,0,0,0,10,166,7,4,0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,1,1,0,0,0.43
30127056,3507,9830,0,1813,8748,1,49,13,78,0.0,0.0,2,14,14,52.37155,4.93462,7,0,4,1.5,1.0,2.0,18,200.0,2,17,0,0,0,0,0,3,1,0,100.0,10.0,10.0,9.0,10.0,9.0,9.0,1,1,0,0,0.14
30127663,635,976,0,1846,8748,0,0,62,31,1.0,1.0,0,5,5,52.37493,4.87907,7,0,3,1.0,2.0,2.0,25,180.0,6,1125,0,0,0,0,0,8,2,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,0.37
30138959,12581,2796,0,2317,8748,1,49,98,79,1.0,1.0,2,16,16,52.39565,4.92267,18,0,5,1.5,3.0,4.0,14,200.0,1,1125,0,0,0,0,0,0,0,0,,,,,,,,1,1,0,0,
30139468,339,9443,0,1603,8748,1,49,98,50,3.0,3.0,2,21,21,52.35427,4.85498,27,2,2,1.5,1.0,1.0,7,80.0,2,1125,0,0,0,0,0,2,0,0,80.0,7.0,6.0,9.0,9.0,8.0,6.0,2,0,2,0,0.11
30140860,7952,15032,5,2629,1544,3,2,90,39,3.0,3.0,2,21,21,52.35392,4.8779699999999995,47,2,2,1.0,1.0,1.0,16,91.0,3,1125,0,0,0,0,0,81,33,0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0,2,0,3.51
30141051,7835,13420,5,2629,1544,3,2,90,39,3.0,3.0,2,21,21,52.35517,4.87852,47,2,2,1.0,1.0,1.0,18,92.0,3,1125,0,0,0,0,0,39,17,1,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0,2,0,1.71
30142159,2637,2168,2,43,8748,1,49,91,49,1.0,1.0,2,20,20,52.38397,4.87836,24,0,4,1.0,2.0,2.0,33,250.0,2,1125,0,0,0,0,0,17,7,0,95.0,10.0,9.0,10.0,10.0,10.0,9.0,1,1,0,0,0.78
30145120,18280,7449,1,2050,3021,1,49,44,4,1.0,1.0,2,2,2,52.38268,4.85794,7,0,2,1.0,1.0,1.0,28,91.0,3,1125,0,0,0,0,0,9,0,0,100.0,10.0,10.0,10.0,10.0,9.0,9.0,1,1,0,0,0.54
30145251,1838,5777,5,22,1723,1,49,2,17,1.0,1.0,2,8,8,52.357859999999995,4.8934,7,0,2,1.0,,2.0,27,145.0,2,1125,0,0,0,0,0,12,3,0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,1,1,0,0,0.54
