listing_id,avg_sentiment_score,proportion_positive
69074,0.9074796747967481,0.991869918699187
75083,0.849065898617512,0.967741935483871
103760,0.7825640000000005,0.944
104626,0.9255923076923078,1.0
132773,0.8413140540540543,0.9783783783783784
163664,0.7565630769230769,0.9384615384615385
163742,0.7948078048780495,0.9463414634146341
228510,0.8851266666666665,0.9333333333333333
248140,0.8869727272727277,0.9935064935064936
274589,0.8351870967741938,0.978494623655914
280746,0.9217243243243243,1.0
306515,0.8731052631578948,0.9473684210526315
412404,0.7129713178294574,0.8992248062015504
463214,0.7739947368421053,0.8947368421052632
498484,0.8763959183673469,0.9591836734693877
505160,0.715872,0.88
505456,0.8702210810810814,0.9837837837837838
548840,0.8370999999999998,0.9767441860465116
560337,0.8918088082901552,0.9948186528497409
562683,0.6877128571428569,0.9285714285714286
562775,0.7316265151515154,0.9393939393939394
562795,0.7248666666666665,0.9629629629629629
562808,0.652918181818182,0.8636363636363636
562817,0.7279777777777778,0.9494949494949495
562840,0.7909619047619048,0.9523809523809523
562859,0.91218,1.0
578652,0.8365749999999998,1.0
586083,0.7922942477876104,0.9424778761061947
598668,0.1909,0.5
603049,0.9278550000000001,1.0
603050,0.9588857142857143,1.0
603051,0.790781081081081,0.972972972972973
604953,0.7828028571428571,0.9214285714285714
634726,0.7112882352941176,0.8235294117647058
645404,0.7964421686746992,0.9518072289156626
646645,0.9084399999999999,1.0
668338,0.8595733333333334,1.0
672039,0.8315878048780483,0.9634146341463414
682768,0.783344444444444,0.9393939393939394
682794,0.8391048780487806,0.9634146341463414
682797,0.8341278195488722,0.9774436090225563
714585,0.7432516746411478,0.9425837320574163
720841,0.7645749999999999,0.9583333333333334
728122,0.7864375,1.0
730356,0.8246733333333334,0.9333333333333333
730367,0.8611888888888888,1.0
730379,0.8244647058823528,1.0
741955,0.8163785714285714,1.0
742040,0.7721756756756756,0.9459459459459459
764696,0.7485925925925927,0.8518518518518519
767022,0.9564,1.0
767160,0.9291666666666667,1.0
767500,0.64879375,0.875
775458,0.8969373584905658,0.9886792452830189
782604,0.8435319999999998,0.92
792974,0.9344192307692306,1.0
816463,0.8185923076923077,0.9230769230769231
823455,0.7563350877192979,0.9473684210526315
825791,0.8195938271604939,0.9506172839506173
825843,0.7661457142857143,0.9428571428571428
825899,0.7070707692307695,0.9230769230769231
844447,0.8757304347826088,0.9565217391304348
846482,0.787287826086956,0.9391304347826087
846855,0.6597,1.0
850531,0.8889010282776353,0.9794344473007712
857837,0.6498333333333333,0.7777777777777778
860892,0.9285,1.0
861654,0.8864433333333335,1.0
869969,0.9038999999999999,1.0
870046,0.9756,1.0
872466,0.6739764705882353,0.803921568627451
881740,0.8654466666666666,0.9666666666666667
881913,0.9463,1.0
894224,0.0,0.0
897942,0.8512450892857144,0.9732142857142857
903169,0.7845,1.0
